np,none,jacobi,ssor,ilu,amg
1,1.0,1.0,1.0,1.0,1.0
2,0.9383682286473911,0.20380346240790118,0.26708960627708667,1.1317463196739432,0.5341791169351473
3,1.930060608822457,1.9856157386557112,0.7572997314072696,1.3420934109517215,0.9291949220064095
4,2.4474114181617503,2.0616154012842007,0.7240854440161794,2.276072185868351,1.5653802788333624
